index_event,outcome_event,baseline,tuned,delta,best_params
Borrow,Deposit,0.7212751853030052,0.7248584037235816,0.003583218,"{""learning_rate"": 0.03034324791851238, ""max_depth"": 6, ""subsample"": 0.7944337144985673, ""colsample_bytree"": 0.8485674230389397, ""min_child_weight"": 6, ""reg_lambda"": 0.6049334422118045, ""reg_alpha"": 0.4332347902264094}"
Borrow,Repay,0.8081365207067707,0.8115873885778158,0.003450868,"{""learning_rate"": 0.031654408365240416, ""max_depth"": 4, ""subsample"": 0.8357224312356751, ""colsample_bytree"": 0.8261263763535016, ""min_child_weight"": 6, ""reg_lambda"": 1.1117028531173407, ""reg_alpha"": 0.24137459115769372}"
Borrow,Withdraw,0.6728547682078471,0.6807113836924847,0.007856615,"{""learning_rate"": 0.03623968758871658, ""max_depth"": 5, ""subsample"": 0.8223236787966812, ""colsample_bytree"": 0.8019034870068203, ""min_child_weight"": 7, ""reg_lambda"": 1.093033704551678, ""reg_alpha"": 0.4507427342353299}"
Borrow,Liquidated,0.8005523366132101,0.8087225024294635,0.008170166,"{""learning_rate"": 0.033396146164670334, ""max_depth"": 6, ""subsample"": 0.7514951037447348, ""colsample_bytree"": 0.8105553921298495, ""min_child_weight"": 4, ""reg_lambda"": 0.8416440686723269, ""reg_alpha"": 0.37965600161465274}"
Deposit,Borrow,0.88419311,0.8917500076369674,0.007556897,"{""learning_rate"": 0.03552041597174132, ""max_depth"": 4, ""subsample"": 0.866080350194864, ""colsample_bytree"": 0.829586488032189, ""min_child_weight"": 7, ""reg_lambda"": 1.638144915037362, ""reg_alpha"": 0.06659994648483279}"
Deposit,Repay,0.8981330371738372,0.9007668003978628,0.002633763,"{""learning_rate"": 0.03313419349177764, ""max_depth"": 5, ""subsample"": 0.8363859838800832, ""colsample_bytree"": 0.8546337344192289, ""min_child_weight"": 7, ""reg_lambda"": 0.8906134133276858, ""reg_alpha"": 0.19216471449886718}"
Deposit,Withdraw,0.7870093322776686,0.8302460439563998,0.043236712,"{""learning_rate"": 0.030380504722596346, ""max_depth"": 4, ""subsample"": 0.8996006883796764, ""colsample_bytree"": 0.8861822979265328, ""min_child_weight"": 8, ""reg_lambda"": 1.179641499898847, ""reg_alpha"": 0.05577508672063264}"
Deposit,Liquidated,0.8362315581691421,0.8535718888881448,0.017340331,"{""learning_rate"": 0.030228873871034463, ""max_depth"": 5, ""subsample"": 0.8216542905905916, ""colsample_bytree"": 0.7893486739329415, ""min_child_weight"": 4, ""reg_lambda"": 1.8972413129469152, ""reg_alpha"": 0.25901517457149403}"
Repay,Borrow,0.8074648976130127,0.8151236425023002,0.007658745,"{""learning_rate"": 0.03264630509233209, ""max_depth"": 4, ""subsample"": 0.8455101746682532, ""colsample_bytree"": 0.7901568046293685, ""min_child_weight"": 7, ""reg_lambda"": 1.1686764957700757, ""reg_alpha"": 0.15644775298613126}"
Repay,Deposit,0.717682887,0.7215133675946405,0.00383048,"{""learning_rate"": 0.04396208839664744, ""max_depth"": 5, ""subsample"": 0.8322124639272191, ""colsample_bytree"": 0.8996916459619411, ""min_child_weight"": 8, ""reg_lambda"": 1.1360675588692748, ""reg_alpha"": 0.23650402861065178}"
Repay,Withdraw,0.6704469695511007,0.6790511245034653,0.008604155,"{""learning_rate"": 0.04496542927848384, ""max_depth"": 5, ""subsample"": 0.7503736203861763, ""colsample_bytree"": 0.892194851241208, ""min_child_weight"": 6, ""reg_lambda"": 1.1399441744132957, ""reg_alpha"": 0.3077948938400016}"
Repay,Liquidated,0.8319508821694916,0.8449122528518112,0.012961370682319506,"{""learning_rate"": 0.030241290871512005, ""max_depth"": 4, ""subsample"": 0.7738487853860051, ""colsample_bytree"": 0.7026313053426722, ""min_child_weight"": 4, ""reg_lambda"": 0.7135160206111469, ""reg_alpha"": 0.3269915045519382}"
Withdraw,Borrow,0.8659446716070066,0.8970390361026921,0.031094364495685478,"{""learning_rate"": 0.0336143148304601, ""max_depth"": 4, ""subsample"": 0.8262601980371374, ""colsample_bytree"": 0.8495603045852445, ""min_child_weight"": 8, ""reg_lambda"": 1.036955740142705, ""reg_alpha"": 0.1036014790353228}"
Withdraw,Deposit,0.8447775786111726,0.8521223217821887,0.007344743,"{""learning_rate"": 0.033442934480175, ""max_depth"": 5, ""subsample"": 0.8366802928740855, ""colsample_bytree"": 0.844652410088901, ""min_child_weight"": 5, ""reg_lambda"": 0.9138208377576227, ""reg_alpha"": 0.21633744343213585}"
Withdraw,Repay,0.8730123892448939,0.904482234,0.031469845,"{""learning_rate"": 0.030041718844013427, ""max_depth"": 4, ""subsample"": 0.7566241510221244, ""colsample_bytree"": 0.7050355246723867, ""min_child_weight"": 8, ""reg_lambda"": 1.9584505653751778, ""reg_alpha"": 0.4949227666652599}"
Withdraw,Liquidated,0.9243012761677079,0.9310964069783715,0.006795131,"{""learning_rate"": 0.04523176613892392, ""max_depth"": 4, ""subsample"": 0.7547553839081482, ""colsample_bytree"": 0.7665355157234168, ""min_child_weight"": 4, ""reg_lambda"": 0.9809515558898259, ""reg_alpha"": 0.49098043979518813}"
